entity_id,name,canonical,entity_type,context,source,source_url
PV_0040_V269,Coffee Leaf Rust,coffee leaf rust,Disease,Fungal disease of coffee caused by Hemileia vastatrix. Orange-yellow powdery pustules on lower leaf surface. Historically devastating — destroyed Sri Lanka's coffee industry in the 1870s.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0040_V274,roya del cafeto,roya del cafeto,Disease,Fungal disease of coffee caused by Hemileia vastatrix. Orange-yellow powdery pustules on lower leaf surface. Historically devastating — destroyed Sri Lanka's coffee industry in the 1870s.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0040_V272,CLR,clr,Disease,Fungal disease of coffee caused by Hemileia vastatrix. Orange-yellow powdery pustules on lower leaf surface. Historically devastating — destroyed Sri Lanka's coffee industry in the 1870s.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0040_V273,Hemileia rust,hemileia rust,Disease,Fungal disease of coffee caused by Hemileia vastatrix. Orange-yellow powdery pustules on lower leaf surface. Historically devastating — destroyed Sri Lanka's coffee industry in the 1870s.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0038_V260,banana panama disease,banana panama disease,Disease,Fungal disease of banana caused by Fusarium oxysporum f. sp. cubense. Also called Panama disease. Blocks water transport causing yellowing and wilting. Threatens global banana supply.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0038,Banana Fusarium Wilt,banana fusarium wilt,Disease,Fungal disease of banana caused by Fusarium oxysporum f. sp. cubense. Also called Panama disease. Blocks water transport causing yellowing and wilting. Threatens global banana supply.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0038_V256,BANANA WILT,banana wilt,Disease,Fungal disease of banana caused by Fusarium oxysporum f. sp. cubense. Also called Panama disease. Blocks water transport causing yellowing and wilting. Threatens global banana supply.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0038_V257,Fusarium wilt of banana,fusarium wilt of banana,Disease,Fungal disease of banana caused by Fusarium oxysporum f. sp. cubense. Also called Panama disease. Blocks water transport causing yellowing and wilting. Threatens global banana supply.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0038_V258,Foc,foc,Disease,Fungal disease of banana caused by Fusarium oxysporum f. sp. cubense. Also called Panama disease. Blocks water transport causing yellowing and wilting. Threatens global banana supply.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0038_V259,TR4,tr4,Disease,Fungal disease of banana caused by Fusarium oxysporum f. sp. cubense. Also called Panama disease. Blocks water transport causing yellowing and wilting. Threatens global banana supply.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
ENT_116D69,Ranavirus,ranavirus,Disease,"Depending upon the virus and the age and health of the host, infections result in a variety of clinical signs such as internal organ hemorrhage, skin sloughing and external petechia.",agrovoc,http://aims.fao.org/aos/agrovoc/c_f92c1d1c
PV_0007,Tomato Late Blight,tomato late blight,Disease,Devastating oomycete disease of tomato and potato caused by Phytophthora infestans. Causes rapid water-soaked lesions that turn brown-black. Responsible for the Irish Potato Famine.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0007_V049,LB,lb,Disease,Devastating oomycete disease of tomato and potato caused by Phytophthora infestans. Causes rapid water-soaked lesions that turn brown-black. Responsible for the Irish Potato Famine.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0007_V046,Late Blight of Tomato,late blight of tomato,Disease,Devastating oomycete disease of tomato and potato caused by Phytophthora infestans. Causes rapid water-soaked lesions that turn brown-black. Responsible for the Irish Potato Famine.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0007_V047,LATE BLIGHT,late blight,Disease,Devastating oomycete disease of potato and tomato caused by Phytophthora infestans. Causes rapid water-soaked lesions turning dark brown-black. Caused the Irish Potato Famine.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0007_V052,late blight disease,late blight disease,Disease,Devastating oomycete disease of tomato and potato caused by Phytophthora infestans. Causes rapid water-soaked lesions that turn brown-black. Responsible for the Irish Potato Famine.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0007_V051,tomato blight,tomato blight,Disease,Devastating oomycete disease of tomato and potato caused by Phytophthora infestans. Causes rapid water-soaked lesions that turn brown-black. Responsible for the Irish Potato Famine.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0007_V050,Phytophthora blight,phytophthora blight,Disease,Devastating oomycete disease of tomato and potato caused by Phytophthora infestans. Causes rapid water-soaked lesions that turn brown-black. Responsible for the Irish Potato Famine.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0029_V196,Pyricularia blast,pyricularia blast,Disease,Fungal disease of rice caused by Magnaporthe oryzae. Most devastating rice disease worldwide. Creates spindle-shaped grey lesions with brown borders. Can destroy entire crops.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0029_V193,blast disease of rice,blast disease of rice,Disease,Fungal disease of rice caused by Magnaporthe oryzae. Most devastating rice disease worldwide. Creates spindle-shaped grey lesions with brown borders. Can destroy entire crops.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0029_V192,RICE BLAST,rice blast,Disease,Fungal disease of rice caused by Magnaporthe oryzae. Most devastating rice disease worldwide. Creates spindle-shaped grey lesions with brown borders. Can destroy entire crops.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0029_V195,rice blast disease,rice blast disease,Disease,Fungal disease of rice caused by Magnaporthe oryzae. Most devastating rice disease worldwide. Creates spindle-shaped grey lesions with brown borders. Can destroy entire crops.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0029_V194,RB,rb,Disease,Fungal disease of rice caused by Magnaporthe oryzae. Most devastating rice disease worldwide. Creates spindle-shaped grey lesions with brown borders. Can destroy entire crops.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0029_V197,neck rot,neck rot,Disease,Fungal disease of rice caused by Magnaporthe oryzae. Most devastating rice disease worldwide. Creates spindle-shaped grey lesions with brown borders. Can destroy entire crops.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
PV_0016_V112,POTATO LATE BLIGHT,potato late blight,Disease,Oomycete disease of potato caused by Phytophthora infestans. Causes dark water-soaked lesions on leaves and tuber rot. The same pathogen that caused the 1840s Irish Famine.,plantvillage,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset
